番号|カテゴリ|名前|色|詳細説明|コード番号|バグチェック
13|警告・保護|資格期限の警告ポップアップ|なし|SS起動時に自車専属マスタの免許証（60日以内）・安全教育/健康診断/適性診断（30日以内）の期限が近い乗務員を自動検出してアラートポップアップで通知。ドキュメントロックと30秒デバウンスで多重起動を防止|コード.js: 1-7c|未
14|警告・保護|ID重複・車番不一致の警告|濃い赤(#ff1744)|同じIDで車番または日付が異なる行（データ破損・誤入力の疑い）を検出してA列を濃い赤（#ff1744）でマーク。同ID・同車番・同日付の複数行（往路復路の正常な合算）はマークしない。SS開き直しのたびに全件自動チェック|コード.js: 1-7b|未
15|警告・保護|ヘッダー行の自動復元|なし|運行シートの1行目（ヘッダー行）を誤って編集・削除したとき、またはシートが追加・削除されたときに正規ヘッダーへ自動復元してシート保護を再設定。onChangeトリガー経由で処理するためシンプルトリガーの権限制限を受けない。復元が効かなかった場合はメニュー「ヘッダー復旧＋保護」を手動実行|コード.js: onChange|未
16|色表示|有休行の色付け|薄グレー(#e0e0e0)|L列（積地）に「有休」を含む値を入力すると行全体が薄グレー（#e0e0e0）に即時着色。SS開き直し（F5）のたびに全行を再チェックして自動再適用。有休・休み行のグレーは資格期限アラートの色（赤・青・緑）より優先される|コード.js: 3-2, 1-7|済
17|色表示|休み行の色付け|濃グレー(#9e9e9e)|L列（積地）に「休み」を含む値を入力すると行全体が濃グレー（#9e9e9e）に即時着色。SS開き直し（F5）のたびに全行を再チェックして自動再適用|コード.js: 3-2, 1-7|済
18|色表示|配車漏れ警告色|薄黄(#fff9c4)|L列（積地）が空でA列（ID）がある行のL列が薄黄（#fff9c4）で着色。L列に積地を入力すると即時に薄黄が解除。積地を削除すると薄黄が再適用。SS開き直し（F5）のたびに全行を再チェックして自動再適用。有休・休み行には薄黄は上書きされない|コード.js: 1-7|済
19|色表示|保護列の色|薄青グレー(#eceff1)|IDがある行だけV列（合計高速）・Y列（連絡端末）・Z列（データ端末）に保護色（#eceff1）が付く。IDのない行は無色。編集しても色が消えず、SS開き直し（F5）で全行自動修復。過去バージョンの塗り残骸もF5で自動除去される|コード.js: 3-2, 1-7, 保護設定|未
20|色表示|資格期限アラート色（A列）|淡い赤/青/緑|SS起動時に自車専属マスタの免許証・安全教育・健康診断・適性診断の期限を乗務員ごとに参照して運行シートA列（ID列）を着色。期限超過=淡い赤、当日=淡い青、7日以内=淡い緑。有休・休み行（グレー）とID衝突行（濃い赤）には上書きしない|コード.js: 1-7c|済
21|色表示|色凡例メモの自動設定|なし|SS開き直しのたびに運行シートA1セル（ID列の色の意味）とL1セル（積地列ヘッダー：薄黄の意味＝配車漏れ）の2か所に色の説明メモを自動設定。各セルにマウスを合わせると説明が表示される|コード.js: 1-7c|未
22|手動操作|マスタ編集時連動|なし|自車専属マスタのC列（車種）・D列（乗務員名）等を変更すると、その乗務員名・車番に一致する運行シートの行を自動で書き換える||未
23|手動操作|配車ダッシュボード|なし|配車板シートを使った未配車・配車確定状況の一覧管理||未
24|手動操作|チェックした行を配車確定|なし|配車板で選択した行を配車確定する||未
25|手動操作|選択行のマッチング解除|なし|配車板で確定済みの行のマッチングを解除する||未
26|手動操作|ID・車番一括補完（手動）|なし|メニュー「ID・車番一括補完」を実行。A列のIDが空でB〜K列にデータがある行にV-XXXXを一括採番、F列（車番）またはG列（乗務員名）が空の行を自車専属マスタから一括補完し、その後集計表を全件再同期する|コード.js: 4-6b|未
27|手動操作|日付順並び替え（手動）|なし|メニュー「日付順並び替え」を実行。運行シートと集計表の両方を日付昇順→乗務員名昇順に強制ソート。完了するとトースト「日付順に並び替えました」が表示される|コード.js: 1-10|未
28|手動操作|経費自動入力|なし|トン数別の平均経費値をもとに経費を自動入力する||未
29|手動操作|写真・ファイル取込|なし|運行シートのX列のセルを選択した状態でメニュー「写真・ファイル取込」を起動するとサイドバーが開く。PCからファイルを選択してアップロードするとGoogleドライブに保存され、セルにクリック可能なリンクが挿入される。Googleフォトのリンクは直接貼り付け不可（PCにいったんダウンロードしてから使う）|コード.js: 14-2c〜14-10|未
30|データ取込|運行シートCSV/Excel取込|なし|メニュー「データ読み込み（CSV）→運行シート」を実行。CSVまたはExcelファイルをアップロードすると列マッピング画面が表示され、配車表の列と運行シートの列の対応を設定してインポート。マッピング設定はシートに保存されるので次回以降は自動適用|csvImport.html: 13-1〜13-8|未
31|データ取込|空インポート行削除|なし|CSV/Excelから取り込んだ際に生じた空行を一括削除する||未
32|帳票・送信|発注書・指示書の作成・送信|なし|運行シートの選択行から発注書・指示書を生成して送信する||未
33|帳票・送信|車番連絡の作成・送信|なし|運行シートから選択行のデータ（車番・乗務員名・日付・売上など）を読み取り、プレビューダイアログを表示。確認後に荷主向けの車番連絡をHTML形式でメール送信。送信先はマスタ（取引先）の荷主連絡先から自動取得|コード.js: 14-2d, 14-5|未
34|帳票・送信|受領書の耳生成|なし|受領書の耳（受取確認欄）を生成する||未
35|帳票・送信|請求書生成|なし|集計データをもとに請求書を自動生成する||未
36|データ取込|CSV・Excel出力|なし|運行データをCSVまたはExcel形式でエクスポートする||未
37|シート管理|今月分生成|なし|メニュー「今月分生成（途中契約）」を実行。自車専属マスタのB列が「運行」の車両×本日〜月末日分の行を運行シートに一括生成。IDを自動採番して各列をマスタから自動セット。生成後に日付順ソートと配車漏れ警告色を自動適用。LockServiceで同時実行によるID重複を防止|コード.js: 4-5|未
38|シート管理|翌月分生成|なし|メニュー「翌月分生成」を実行。自車専属マスタのB列が「運行」の車両×翌月1日〜末日分の行を運行シートに一括生成。翌月データが既に存在する場合はスキップ（重複防止）。生成後に3ヶ月以上の月データがある場合は最古月を自動アーカイブ|コード.js: 14-2c〜14-10|未
39|シート管理|前月分アーカイブ|なし|メニュー「前月分アーカイブ」を実行。運行シートの今月より前のデータを全件、Googleドライブの「運行管理_アーカイブ/会社名/」フォルダに月別シートとして移動・保存。翌月生成時に3ヶ月以上のデータがある場合は最古月が自動アーカイブされるため通常は手動実行不要|コード.js: 4-8|未
40|シート管理|シート再生成|なし|運行シートを初期状態から再生成する||未
41|シート管理|ヘッダー復旧＋保護|なし|メニュー「ヘッダー復旧＋保護」を手動実行。ヘッダー行を正規の状態に復元してシート保護を再設定||未
